"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"Keesal, Young & Logan","06/07/2024, 06/13/2024","11/27/2024"
"Financial Business and Consumer Solutions ","02/14/2024, 02/26/2024","11/27/2024"
"UniversalPegasus International","06/13/2023, 06/14/2023","11/27/2024"
"Evening Post Publishing Inc.","03/13/2024, 03/20/2024","11/26/2024"
"Holstrom, Block & Parke APLC","08/26/2024, 09/06/2024","11/26/2024"
"Datamaxx Applied Technologies, Inc. ","12/01/2023","11/25/2024"
"Totally Promotional","11/20/2023, 07/11/2024, 10/19/2024, 10/20/2024","11/25/2024"
"True World Holdings LLC","08/23/2024","11/22/2024"
"OnePoint Patient Care","08/03/2024, 08/08/2024","11/22/2024"
"LCPtracker, Inc.","08/14/2024","11/22/2024"
"Dome Construction Corporation","10/19/2024, 10/20/2024","11/22/2024"
"Kulicke and Soffa Industries","05/12/2024","11/22/2024"
"Walsworth Publishing Company","12/26/2023","11/22/2024"
"Spring EQ LLC","07/31/2024, 08/01/2024","11/21/2024"
"Targus","","11/21/2024"
"Farmers New World Life Insurance Company","10/29/2023","11/21/2024"
"Pinnacle Claims Management, Inc. ","07/23/2024","11/19/2024"
"Vista Point Mortgage, LLC","","11/18/2024"
"The Tech Interactive","","11/18/2024"
"Option Care Health","07/31/2024","11/15/2024"
"Maxar Space LLC and Maxar Space Robotics LLC","10/04/2024","11/15/2024"
"El Dorado Union High School District","05/25/2024, 06/18/2024","11/14/2024"
"KTBS Law LLP ","12/07/2023, 12/12/2023","11/14/2024"
"Medical Board of California","03/22/2024, 10/17/2024","11/14/2024"
"American Neighborhood Mortgage Acceptance Company, LLC (AnnieMac Home Mortgage)","08/21/2024, 08/23/2024","11/14/2024"
"ASM Global Parent, Inc.","10/10/2023, 10/12/2023","11/12/2024"
"Calibrated Healthcare, LLC, on behalf of its covered entity clients","02/25/2024, 02/26/2024","11/12/2024"
"TEAM Software","07/25/2024, 07/26/2024","11/12/2024"
"G Adventures Inc. (“G Adventures”)","09/02/2024","11/12/2024"
"Pallet Logistics of America d/b/a PLA","07/25/2024, 09/18/2024","11/12/2024"
"Rex Signature Services, LLC","04/09/2024, 04/18/2024","11/12/2024"
"Great Star Tools USA","08/02/2023","11/12/2024"
"ASM Global Parent, Inc.","10/10/2023, 10/12/2023","11/12/2024"
"Wellfleet Group, LLC ","","11/11/2024"
"David's Bridal","01/20/2024","11/11/2024"
"BBS Financial Services, LLC","12/19/2023","11/11/2024"
"Harbinger Group, LLC d/b/a Misionero Vegetables","09/26/2024","11/11/2024"
"Set Forth, Inc.","05/21/2024","11/08/2024"
"Allocation Services, Inc. dba IMPAXX","02/28/2024","11/08/2024"
"Acadian Ambulance Service, Inc.","06/19/2024, 06/21/2024","11/07/2024"
"VeriSource Services, Inc.","02/27/2024","11/06/2024"
"Preferred Travel Group","06/15/2024, 07/10/2024","11/06/2024"
"Diligent Delivery Systems","07/08/2024, 07/09/2024","11/05/2024"
"Redwood Coast Regional Center","02/26/2024","11/04/2024"
"Raimondo Pettit Group","09/11/2023","11/04/2024"
"MWI Veterinary Supply, Inc.","02/21/2024","11/04/2024"
"Cornerstone Healthcare Group Management Services LLC ","12/19/2023","11/02/2024"
"True World Holdings LLC","08/23/2024","11/01/2024"
"Kaiser Foundation Hospitals","08/02/2024","11/01/2024"
"Van Wagner Group, LLC","08/03/2024","11/01/2024"
"SelectBlinds","01/07/2024","10/31/2024"
"BNBuilders","07/18/2024","10/31/2024"
"Soliant Health, LLC","06/23/2024","10/30/2024"
"SysInformation Healthcare Services, LLC d/b/a EqualizeRCM and 1st Credentialing","06/03/2023, 06/18/2023","10/29/2024"
"Solairus Aviation, LLC","08/31/2024","10/28/2024"
"CUSO Financial Services, LP","12/19/2023, 01/19/2024","10/28/2024"
"Compex Legal Services Inc.","04/09/2024, 04/19/2024","10/25/2024"
"TEAM Software","07/25/2024, 07/26/2024","10/24/2024"
"Chimienti & Associates ","03/22/2024, 03/26/2024","10/24/2024"
"Toro Enterprises, Inc.","06/05/2024","10/23/2024"
"Henry Schein, Inc.","","10/23/2024"
"Landmark Admin, LLC","05/13/2024","10/23/2024"
"MMI Services, Inc.","05/21/2024","10/23/2024"
"Systems Application & Technologies Inc.","03/20/2024, 03/26/2024","10/23/2024"
"OnePoint Patient Care","08/03/2024, 08/08/2024","10/23/2024"
"Infosys McCamish Systems LLC","10/29/2023","10/21/2024"
"1stUnited Credit Union","10/07/2024","10/18/2024"
"Abbott Laboratories Employees Credit Union (“ALEC”)","08/02/2024","10/18/2024"
"Summit Pathology, a Colorado general partnership and Summit Pathology Laboratories, Inc. a Colorado corporation","","10/18/2024"
"Loring, Wolcott & Coolidge","04/26/2024","10/17/2024"
"Totally Promotional","11/20/2023, 07/11/2024","10/16/2024"
"Birth Choice of San Marco ","02/19/2024, 03/27/2024","10/16/2024"
"Save Mart Supermarkets, LLC","08/21/2023, 08/27/2023","10/15/2024"
"Varsity Brands Inc","05/22/2024","10/14/2024"
"Tri-City Healthcare District","02/11/2024","10/12/2024"
"Wellfleet Group, LLC","","10/11/2024"
"Form I-9 Compliance","02/05/2024","10/11/2024"
"Gryphon Healthcare, LLC","07/06/2024","10/11/2024"
"MiCare Health Center","","10/11/2024"
"Bel-Air Bay Club Ltd","09/03/2024, 09/04/2024","10/11/2024"
"Omni Family Health","08/07/2024","10/10/2024"
"Kulicke and Soffa Industries","05/12/2024","10/10/2024"
"Fidelity Investments","08/17/2024","10/09/2024"
"Cottonwood Union School District","05/16/2024","10/09/2024"
"AmerisourceBergen Specialty Group, LLC ","02/21/2024","10/08/2024"
"TheraCom, L.L.C.","02/21/2024","10/08/2024"
"Alliance Laundry Systems LLC","12/11/2023","10/08/2024"
"Calibrated Healthcare, LLC","02/25/2024, 02/26/2024","10/08/2024"
"AccessLex Institute","02/26/2024","10/08/2024"
"McKell Financial Group","06/07/2024","10/08/2024"
"Dohman, Akerlund & Eddy","02/11/2024, 02/28/2024","10/07/2024"
"Community HousingWorks","10/10/2023, 12/22/2023","10/07/2024"
"5.11, Inc.","07/12/2024","10/05/2024"
"Signature Healthcare Services LLC","01/27/2024, 01/28/2024","10/04/2024"
"Comcast Cable Communications LLC (supplemental notice regarding incident at Financial Business and Consumer Solutions, Inc. (“FBCS”))","02/14/2024, 02/26/2024","10/03/2024"
"California Department of Social Services","06/06/2024, 06/18/2024","10/03/2024"
"Harvard Pilgrim Health Care","03/28/2023, 04/17/2023","10/03/2024"
"Balboa Bay Club Ventures LLC","07/09/2024","10/03/2024"
"TransUnion Risk and Alternative Data Solutions, Inc. (TRADS)","04/16/2024, 02/08/2024","10/02/2024"
"FTV Employment Services LLC","01/25/2023","10/01/2024"
"Advanced Sterilization Products, Inc.","01/25/2023","10/01/2024"
"Pacific Scientific Energetic Materials Company (California) LLC","01/25/2023","10/01/2024"
"Truist Bank","02/14/2024","10/01/2024"
"Empereon Marketing","06/30/2024","09/27/2024"
"Calibrated Healthcare, LLC","02/25/2024, 02/26/2024","09/26/2024"
"New TSI Holdings, Inc./New York Sports Club","07/27/2024","09/26/2024"
"Community Clinic of Maui, Inc. dba Malama I Ke Ola Health Center","05/04/2024, 05/07/2024","09/26/2024"
"Prentke Romich Company dba PRC-Saltillo","08/14/2024, 08/21/2024","09/25/2024"
"Amgen Inc. ","08/16/2023, 10/17/2023","09/25/2024"
"Mattson Technology, Inc. ","04/11/2023, 04/29/2023","09/24/2024"
"Wright, Moore, DeHart, Dupuis & Hutchinson, LLC","06/29/2023","09/24/2024"
"Sage Home Loans Corporation f/k/a Lenox Financial Mortgage Corporation d/b/a Weslend Financial (“Lenox”)","12/05/2023, 12/22/2023","09/22/2024"
"Blundstone (U.S.A.) Inc.","07/07/2024","09/20/2024"
"siParadigm LLC","06/11/2024","09/19/2024"
"Tuttle-Click Automotive Group","11/24/2023, 12/05/2023","09/19/2024"
"The Gill Corporation","06/23/2024","09/19/2024"
"Octapharma Plasma, Inc.","04/17/2024","09/19/2024"
"TradeZero America Inc.","07/29/2024","09/19/2024"
"Insurance Agency Marketing Services, Inc.","03/01/2024, 05/03/2024","09/18/2024"
"MIPS Holding, Inc.","06/26/2024","09/18/2024"
"The Tech Interactive","","09/16/2024"
"River Delta Unified School District","12/20/2023","09/16/2024"
"David’s Bridal","01/20/2024","09/16/2024"
"Hair Club for Men, Ltd., Inc.","10/18/2023","09/13/2024"
"Altman Specialty Plants, LLC","09/11/2023","09/13/2024"
"LA Financial Federal Credit Union ","06/10/2024","09/13/2024"
"Around the Clock Companies","01/30/2024, 06/18/2024","09/12/2024"
"Theresa Gordon Tax Services, Inc. ","05/21/2023, 07/12/2023","09/12/2024"
"Hamel Cranial Chiropractic & Wellness INC.","08/04/2024","09/11/2024"
"El Monte Union High School District","06/18/2024, 07/04/2024","09/09/2024"
"Infosys McCamish Systems LLC","10/29/2023","09/09/2024"
"Kemper Sports Management, LLC","04/01/2024","09/09/2024"
"Slim CD, Inc.","08/17/2023","09/06/2024"
"Welcome Health","06/11/2024","09/06/2024"
"Retail Data","06/22/2024","09/06/2024"
"TIAA","10/29/2023","09/06/2024"
"US Merchants Financial Group, Inc.","02/13/2024","09/06/2024"
"TAXELLENT ACCOUNTING SERVICES INC","08/09/2024","09/05/2024"
"Avis Rent A Car System LLC","08/03/2024, 08/06/2024","09/05/2024"
"Riverside Resort & Casino","07/25/2024","09/05/2024"
"Katz Nannis + Solomon, PC","11/21/2023","09/03/2024"
"Propark Mobility ","01/15/2024, 01/18/2024","09/02/2024"
"LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH","05/27/2024","08/30/2024"
"Turning Point of Central California, Inc.","04/30/2024","08/30/2024"
"Compex Legal Services Inc.","04/09/2024, 04/19/2024","08/30/2024"
"Catholic Charities CYO of The Archdiocese of San Francisco","09/13/2023, 09/29/2023","08/30/2024"
"Futurity First Insurance Group","","08/30/2024"
"USAA","04/13/2024, 04/30/2024","08/29/2024"
"Covenant Care California, LLC","11/12/2023, 11/14/2023","08/29/2024"
"South Orange County Community College District","04/05/2024","08/29/2024"
"Imperial Sprinkler, LLC","","08/29/2024"
"Phase II Systems d/b/a PARS","03/11/2024","08/29/2024"
"Western Electrical Contractors Association, Inc.","01/21/2024, 01/22/2024","08/29/2024"
"Strive HoldCo, LLC","01/29/2024, 01/31/2024","08/28/2024"
"Consulting Radiologists LTD. (“CRL”)","02/12/2024","08/27/2024"
"Young Consulting LLC","04/10/2024, 04/13/2024","08/26/2024"
"City of St. Helena","04/29/2024, 05/13/2024","08/26/2024"
"Kingdom Trust","03/01/2024, 03/01/2024","08/23/2024"
"Texas Dow Employees Credit Union ","05/29/2023, 05/31/2023","08/23/2024"
"SPAU Holdings, LLC, d/b/a Artifact Uprising LLC","06/14/2024, 07/12/2024","08/22/2024"
"Keystone Pacific Property Management","12/12/2023","08/21/2024"
"Pomona Community Health Center dba ParkTree Community Health Center","02/01/2024","08/21/2024"
"Davidoff Hutcher & Citron LLP ","01/12/2023, 08/18/2023","08/20/2024"
"Patelco Credit Union ","05/23/2024, 06/29/2024","08/20/2024"
"VeriSource Services, Inc.","02/27/2024","08/20/2024"
"Arden Claims Service","10/05/2023","08/19/2024"
"The Cannon Corporation dba CannonDesign","01/19/2023, 01/25/2023","08/19/2024"
"Allergy Medical Group of the North Area, Inc.","02/29/2024","08/19/2024"
"National Public Data","12/29/2023","08/17/2024"
"Blain Jacobson DMD, CAGS","07/24/2024","08/16/2024"
"Baker Places, Inc. ","12/07/2023, 02/29/2024","08/16/2024"
"Around the Clock Companies","01/30/2024, 06/18/2024","08/16/2024"
"Enroll Confidently, Inc","02/13/2024","08/16/2024"
"Oregon Zoo","12/20/2023","08/16/2024"
"Infosys McCamish Systems LLC","10/29/2023","08/15/2024"
"Ambulnz Holdings, LLC","04/21/2024, 04/22/2024","08/13/2024"
"FlightAware, Inc.","01/01/2021","08/13/2024"
"Kootenai Health","02/22/2024, 03/02/2024","08/12/2024"
"Crown Equipment Corporation (Crown)","06/08/2024","08/12/2024"
"Monte Nido ","09/16/2023, 09/22/2023","08/09/2024"
"Glendale Unified School District","11/06/2023, 12/06/2023","08/09/2024"
"Educators Benefit Consultants, LLC (d/b/a Aviben)","02/21/2024, 02/22/2024, 02/23/2024","08/09/2024"
"CSC ServiceWorks","09/23/2023, 02/04/2024","08/09/2024"
"Student Transportation of America","01/17/2024, 01/24/2024","08/08/2024"
"Baxter International, Inc.","05/10/2024","08/08/2024"
"Evening Post Publishing Inc.","03/13/2024, 03/20/2024","08/08/2024"
"Ingo Money, Inc","","08/07/2024"
"City of Victorville, California ","08/12/2023, 09/26/2023","08/07/2024"
"Pacific Oaks College","","08/07/2024"
"OLYMPUS FINANCIAL","06/07/2024","08/06/2024"
"Recology Inc. (""Recology"")","11/01/2023","08/05/2024"
"Change Healthcare Inc.","02/12/2024, 02/22/2024","08/03/2024"
"Calibrated Healthcare, LLC, on behalf of its customers' health plans","02/25/2024, 02/26/2024","08/02/2024"
"Allcare medical Management, Inc.","04/16/2024","08/02/2024"
"FilterBaby, LLC","07/04/2024","08/02/2024"
"Peterson Holding Company ","06/27/2023, 06/28/2023","08/01/2024"
"Brownell Travel, Inc.","11/10/2023","07/31/2024"
"LivaNova USA, Inc.","10/26/2023","07/30/2024"
"HealthEquity, Inc.","03/09/2024","07/26/2024"
"United of Omaha Life Insurance Company","04/21/2024, 04/22/2024, 04/23/2024","07/26/2024"
"Hair Club for Men, Ltd., Inc.","10/18/2023","07/25/2024"
"Gemini Trust Company, LLC","06/03/2024, 06/07/2024","07/24/2024"
"Compex Legal Services Inc.","04/09/2024, 04/19/2024","07/24/2024"
"Pinnacle Bank ","01/23/2024, 01/29/2024","07/23/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","07/23/2024"
"Wise US Inc.","06/26/2024","07/23/2024"
"Green Investment Management, Inc.","05/20/2024","07/22/2024"
"Allcare Medical Management, Inc.","03/04/2024, 04/20/2024","07/22/2024"
"A-Line Staffing Solutions ","06/03/2024","07/19/2024"
"WebTPA Employer Services, LLC","04/18/2023, 04/23/2023","07/19/2024"
"Therapeutic Health Services","02/24/2024","07/19/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","07/19/2024"
"PHL Variable Insurance Company in Rehabilitation","11/02/2023","07/19/2024"
"Fidelity Investments Life Insurance Company & Empire Fidelity Investments Life Insurance Company","10/29/2023","07/19/2024"
"CCM Health","04/03/2023, 04/10/2023","07/18/2024"
"United Seating and Mobility L.L.C, dba Numotion ","02/29/2024, 03/02/2024","07/17/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","07/17/2024"
"FCDG Management LLC","10/22/2023","07/16/2024"
"INJECTABLE THERAPY SERVICES, INC","12/08/2023","07/16/2024"
"MarineMax, Inc.","03/01/2024, 03/10/2024","07/16/2024"
"Designed Receivable Solutions, Inc.","01/18/2024","07/16/2024"
"Central Contra Costa Transit Authority","05/05/2024","07/15/2024"
"MNGI Digestive Health","08/20/2023","07/15/2024"
"Kaiser Foundation Hospitals, Northern California and The Permanente Medical Group, Inc. ","","07/15/2024"
"Freudenberg Medical, LLC","11/10/2023, 11/11/2023","07/15/2024"
"Rite Aid Corporation","06/06/2024","07/15/2024"
"Karis & Drake dba Bandolier","03/26/2024, 05/07/2024","07/11/2024"
"Advance Stores Company, Incorporated ","04/14/2024","07/10/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","07/10/2024"
"Kovack Financial","08/15/2023","07/09/2024"
"La Jolla Group, Inc.","11/03/2023, 11/07/2023","07/09/2024"
"New York School of Interior Design","11/02/2023, 11/26/2023","07/09/2024"
"Evolve Bank & Trust","","07/08/2024"
"Otsuka Patient Assistance Foundation","02/21/2024","07/08/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","07/08/2024"
"DG3 North America, Inc.","02/05/2024","07/03/2024"
"Olson & Co Steel","04/10/2024","07/03/2024"
"DaVita Inc.","11/20/2027, 12/14/2023","07/03/2024"
"CF Arcis XII, LLC dba Arcis Golf","11/16/2023","07/01/2024"
"Ernst & Young LLP","05/27/2023, 05/31/2023","07/01/2024"
"Woodruff-Sawyer & Co.","01/20/2024","06/28/2024"
"Greylock McKinnon Associates, Inc.","05/30/2023","06/28/2024"
"Infosys McCamish Systems, LLC","10/29/2023","06/28/2024"
"Ticketmaster LLC","04/02/2024, 05/18/2024","06/27/2024"
"Ann & Robert H. Lurie Children’s Hospital Of Chicago  ","01/26/2024, 01/27/2024, 01/28/2024, 01/29/2024, 01/30/2024, 01/31/2024","06/27/2024"
"The Northwestern Mutual Life Insurance Company","10/29/2023, 11/02/2023","06/27/2024"
"Providence Mission Heritage Endocrinology","12/15/2020, 05/15/2024","06/26/2024"
"Designed Receivable Solutions, Inc.","01/18/2024","06/26/2024"
"AEG Presents, LLC","05/03/2024","06/25/2024"
"The Union Labor Life Insurance Company","10/29/2023, 11/02/2023","06/25/2024"
"Plavan Commercial Fueling Inc. (""P-Fleet"")","02/23/2024","06/24/2024"
"Levi Strauss & Co.","06/13/2024","06/21/2024"
"LivaNova USA, Inc.","10/26/2023","06/21/2024"
"Los Angeles County - Department of Health Services ","02/06/2024","06/21/2024"
"CareDx, Inc.","02/21/2024","06/20/2024"
"Class Advisors","01/25/2024","06/20/2024"
"Escondido Union High School District ","11/03/2023, 11/05/2023","06/20/2024"
"Acrotech Biopharma Inc.","02/21/2024","06/20/2024"
"Ventura County Credit Union","01/29/2024, 01/30/2024","06/20/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","06/20/2024"
"Datamate Bookkeeping & Tax, Inc.","09/23/2023","06/16/2024"
"Los Angeles County Dept of Public Health","02/19/2024","06/14/2024"
"Doxim, Inc.","12/25/2023, 12/30/2023","06/14/2024"
"Association of Texas Professional Educators","","06/14/2024"
"Scout Energy Management LLC","01/10/2024, 04/02/2024","06/14/2024"
"Law Office of Peter S. Stern","01/01/2023","06/14/2024"
"Consulting Radiologists LTD. (“CRL”)","02/12/2024","06/14/2024"
"Panera, LLC","02/09/2024, 03/23/2024","06/13/2024"
"Hesperia Unified School District","05/04/2024, 05/08/2024","06/12/2024"
"Kirkland & Ellis LLP","05/27/2023, 05/28/2023, 05/29/2023, 05/30/2023, 05/31/2023","06/12/2024"
"Datamate Bookkeeping & Tax, Inc.","09/23/2023","06/12/2024"
"Santoro Whitmire, LTD","12/12/2023","06/11/2024"
"Frontier Communications Parent, Inc.","04/13/2024","06/11/2024"
"Toyota Financial Services","09/10/2021","06/11/2024"
"First American Financial Corporation","12/18/2023","06/10/2024"
"Sanofi US Services Inc.","02/21/2024","06/10/2024"
"Mariposa Landscapes Inc. ","10/12/2023, 10/15/2023","06/07/2024"
"Pfizer Inc.","02/21/2024","06/07/2024"
"Christie’s Inc.","05/08/2024, 05/09/2024","06/07/2024"
"Peak Design","","06/06/2024"
" Navvis & Company, LLC","07/12/2023, 07/25/2023","06/06/2024"
"My Daily Choice, Inc.","02/15/2024","06/06/2024"
"Drive Sally, LLC","04/30/2024, 05/01/2024","06/05/2024"
"Elk Grove Unified School District","04/17/2023","06/05/2024"
"Bausch Health Companies Inc.","02/21/2024","06/05/2024"
"Crossroads Equipment Lease & Finance, LLC","04/01/2023","06/04/2024"
"Gapbuster Worldwide Pty Ltd (GBW)","05/28/2024","06/04/2024"
"Heron Therapeutics, Inc.","02/21/2024","06/03/2024"
"Philips Respironics","05/31/2023","06/03/2024"
"Native American Health Center","11/01/2023, 11/19/2023","06/03/2024"
"DG3 North America, Inc.","02/05/2024","05/31/2024"
"Form I-9 Compliance","02/05/2024","05/31/2024"
"Otsuka America Pharmaceutical, Inc.","02/21/2024","05/31/2024"
"Rayner Surgical Inc.","02/21/2024","05/31/2024"
"Takeda Pharmaceuticals U.S.A., Inc.","02/21/2024","05/31/2024"
"Sandoz Inc.","02/21/2024","05/31/2024"
"Amgen Inc.","02/21/2024","05/30/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","05/29/2024"
"medQ, Inc.","12/20/2023, 12/26/2023","05/29/2024"
"Abbott","02/21/2024","05/29/2024"
"Johnson & Johnson Services, Inc.","02/21/2024","05/28/2024"
"Johnson & Johnson Patient Assistance Foundation, Inc.","02/21/2024","05/28/2024"
"R3 Education Inc.","11/07/2023","05/28/2024"
"Toshiba America Business Solutions, Inc.","12/04/2023, 03/18/2024","05/28/2024"
"GlaxoSmithKline Group of Companies and the GlaxoSmithKline Patient Access Programs Foundation ","02/21/2024","05/24/2024"
"A&A Services d/b/a Sav-Rx","10/08/2023","05/24/2024"
"Rex Signature Services, LLC","04/09/2024, 04/18/2024","05/24/2024"
"Endo Pharmaceuticals Inc.","02/21/2024","05/24/2024"
"Dendreon Pharmaceuticals LLC","02/21/2024","05/23/2024"
"Affiliated Dermatologists & Dermatologic Surgeons P.A.","03/02/2024, 03/05/2024","05/23/2024"
"Sumitomo Pharma America, Inc.","02/21/2024","05/23/2024"
"Incyte Corporation","02/21/2024","05/23/2024"
"Regeneron Pharmaceuticals, Inc.","02/21/2024","05/22/2024"
"Trionfo Solutions, Inc.","12/04/2023","05/22/2024"
"Association of California School Administrators","09/23/2023, 09/24/2023","05/22/2024"
"Novartis Pharmaceuticals Corporation","02/21/2024","05/22/2024"
"Daniel E. Fitzgerald, CPA","01/11/2024","05/21/2024"
"AbbVie Inc.","02/21/2024","05/21/2024"
"Acadia Pharmaceuticals Inc.","02/21/2024","05/21/2024"
"Genentech, Inc.","02/21/2024","05/20/2024"
"Bayer Corporation","02/21/2024","05/20/2024"
"LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH","03/20/2024","05/17/2024"
"OmniVision Technologies, Inc.","09/04/2023, 09/30/2023","05/17/2024"
"Bristol Myers Squibb Company and Bristol Myers Squibb Patient Assistance Foundation","02/21/2024","05/17/2024"
"Oxford Global Resources, LLC","02/12/2024","05/15/2024"
"Marathon Pharmaceuticals, LLC/PTC Therapeutics, Inc.","02/21/2024","05/15/2024"
"Jordano’s Inc.","02/25/2024","05/15/2024"
"Nissan North America, Inc. (“NNA”)","11/07/2023","05/14/2024"
"Thayer Academy","02/04/2023","05/14/2024"
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport","08/19/2023","05/13/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","05/10/2024"
"Allianz Global Risks U.S. Insurance Company ","05/29/2023","05/09/2024"
"Ohio Lottery","12/24/2023","05/09/2024"
"Paychex, Inc.","03/22/2024","05/09/2024"
"WebTPA Employer Services, LLC","04/18/2023, 04/19/2023, 04/20/2023, 04/21/2023, 04/22/2023, 04/23/2023","05/08/2024"
"Bodyartforms LLC","10/16/2023","05/08/2024"
"The May Institute, Inc.","12/04/2023","05/07/2024"
"Varo Bank, N.A.","03/12/2024, 03/18/2024","05/07/2024"
"Recology Inc. (“Recology”)","11/01/2023","05/07/2024"
"The State of Kansas Office of Judicial Administration","06/10/2023, 10/12/2023","05/06/2024"
"Enstar (US) Inc","05/30/2023, 05/31/2023","05/03/2024"
"Community First Credit Union ","09/06/2023, 09/07/2023","05/03/2024"
"Guardant Health, Inc.","10/05/2020, 02/29/2024","05/03/2024"
"Sterling Plumbing Inc.","03/18/2024","05/02/2024"
"Phoenix Business Consulting","11/12/2023, 12/04/2023","05/01/2024"
"United Seating and Mobility L.L.C, dba Numotion ","02/29/2024, 03/02/2024","05/01/2024"
"Virginia Union University ","02/13/2023","05/01/2024"
"City of Pensacola, Florida","03/08/2024","05/01/2024"
"Panda Restaurant Group, Inc. (PRG)","03/07/2024","04/30/2024"
"OE Federal Credit Union","08/19/2023, 10/29/2023","04/30/2024"
"JPMorgan Chase Bank, N.A.","08/26/2021, 02/23/2024","04/29/2024"
"Wescom Central Credit Union","10/30/2022, 05/30/2023","04/29/2024"
"The Philadelphia Inquirer, PBC","05/11/2023","04/29/2024"
"Sleep Data Holdings, LLC  ","05/31/2023","04/29/2024"
"J.P. Morgan","08/26/2021, 02/23/2024","04/27/2024"
"Designed Receivable Solutions, Inc.","01/18/2024","04/26/2024"
"Signature Healthcare Services LLC","01/27/2024, 01/28/2024","04/26/2024"
"Gerber Life Insurance Company","03/06/2023","04/26/2024"
"Financial Business and Consumer Solutions, Inc. ","02/14/2024, 02/26/2024","04/26/2024"
"The Lagunitas Brewing Company","03/06/2024","04/26/2024"
"Berry, Dunn, McNeil & Parker, LLC","09/12/2023, 09/14/2023","04/25/2024"
"Los Angeles County - Department of Health Services ","02/19/2024, 02/20/2024","04/25/2024"
"Camino Nuevo Charter Academy","07/20/2023, 07/29/2023","04/24/2024"
"Valley Veterinary Clinic, LLC","02/04/2024","04/23/2024"
"Biggs Cardosa Associates, Inc.","03/20/2024","04/23/2024"
"Transamerica Life Insurance Company (TLIC) NAIC 86231","03/06/2023","04/23/2024"
"Metropolitan Life Insurance Company","11/18/2023","04/22/2024"
"Valley Mountain Regional Center","08/01/2023","04/19/2024"
